lat,long,mag
35.6168333,-117.4776667,0.94
33.3755,-116.354,0.68
44.82533333,-111.4516667,0.88
37.8356,129.482,3.9
19.12899971,-155.3755035,2.00999999
47.203,-122.2318333,0.96
-24.2506,-67.048,4
38.8186684,-122.8223343,0.89
61.6403,-141.0373,1.2
40.2405,-121.1426667,2.21
61.1866,-150.3928,1.4
46.1905,-122.371,0.64
42.95966667,-122.13,-0.27
36.549,-121.1438333,1.13
38.8175011,-122.8259964,0.62
42.94333333,-122.1075,1.76
36.5438333,-121.1383333,1.91
36.5438333,-121.1371667,1.85
39.3411674,-123.2464981,1.35
36.5911667,-121.1845,1.33
60.1592,-152.9173,1.1
65.4085,-144.3305,1.4
42.961,-122.1336667,0.14
42.942,-122.1015,2.01
38.7900009,-122.7666702,0.75
37.4978333,-121.815,0.98
38.8201675,-122.822998,0.76
44.7888333,-111.0873333,0.43
35.6135,-117.5943333,0.73
38.8126678,-122.8270035,1.07
61.0157,-151.2456,1.3
19.14916611,-155.4850006,2.42
34.66616667,-96.48416667,1.03
38.8139992,-122.8238297,1.07
-17.9791,-178.2536,4.5
36.544,-121.1368333,2.84
38.8260002,-122.8578339,1.1
40.1873333,-121.0958333,2.74
61.3865,-150.1317,1.5
38.786335,-122.7473297,0.75
57.9871,-154.8568,1.2
40.1993333,-121.0813333,2.63
75.3895,7.2892,4.6
60.9449,-147.0398,1.4
19.16083336,-155.4848328,1.72000003
37.6991667,-121.9308333,1.13
36.0079994,-120.5636673,0.59
46.86433333,-121.7631667,0.56
36.4558,-113.5394,2.6
61.4019,-149.9098,1.4
38.8181648,-122.8246689,0.44
6.8608,-73.0975,4.6
61.5674,-151.4724,1.1
33.3737,139.1763,5.1
63.0635,-151.0914,2
38.8146667,-122.8246667,0.41
31.56897441,-104.1646218,2.8
39.4211,-119.6978,0.5
39.8033,-120.7212,0.8
38.8325005,-122.8108368,0.71
0.4855,126.925,5.1
19.1578331,-155.4616699,2.52
19.15916634,-155.4798279,2.52
33.2302,139.2095,4.5
30.9031,-116.441,4.5
38.832,-122.8165,0.46
27.4999,139.9746,4.2
34.664,-96.15316667,1.56
19.26833344,-155.4033356,1.99000001
36.7587,-116.2584,-0.2
19.25183296,-155.4046631,2.33
33.3376,139.3064,4.9
33.4333,139.3346,5.2
-6.9107,129.517,4.7
33.4042,139.3907,5
33.535,-116.6828333,0.5
19.26283264,-155.3763275,2.35
38.8143333,-122.7586667,0.43
60.2992,-153.1262,0.8
33.6643333,-116.7491667,0.76
40.2008333,-121.1443333,2.38
36.9423332,-121.376503,1.6
17.87316667,-67.27016667,2.89
46.22566667,-122.3485,1
38.483,-119.5251,0.5
19.27949905,-155.4283295,1.97
35.7098333,-117.5645,0.86
33.6603333,-116.7383333,0.72
7.4689,123.5454,4.9
38.7856674,-122.7785034,0.79
38.7798333,-122.7778333,1.32
34.2995,-118.5208333,0.77
38.8331667,-122.792,0.47
36.0771667,-120.6568333,0.52
60.4141,-147.3361,2
62.1488,-152.068,1.6
38.8198318,-122.82267,0.81
34.0063333,-117.2318333,0.81
58.1137,-155.4705,1.1
37.9,36.1805,4.1
33.267,-116.4311667,0.99
36.7415,-116.0525,-0.4
33.2421,139.2767,4.8
56.9513,-33.8887,4.9
60.3242,-141.4621,1.5
58.2056,-153.2061,1.8
33.4986667,-116.4373333,2.05
36.8066,-116.1685,-0.1
60.1285,-152.6098,1.4
38.8198333,-122.7858333,0.39
47.717,-115.398,1.26
18.0015,-66.8795,2.05
17.928,-66.96766667,2.33
38.8361667,-122.8358333,1.43
38.8166667,-122.8216667,0.92
57.7198,-154.8932,2.5
62.0765,-149.2672,1.4
44.7605,-110.9736667,1.56
33.4097,139.3129,5.6
44.677,-110.4598333,0.46
19.24933243,-155.4113312,1.83000004
11.4555,141.6158,5.1
19.3995,-155.2395,2.25
39.5792,-120.0569,0.5
47.69366667,-113.7875,0.18
38.829834,-122.854332,0.74
33.3288333,-116.2085,0.63
61.509,-149.9047,1.7
33.4456667,-116.8455,-0.02
37.3058333,-121.6728333,1.28
37.6168333,-122.475,1.39
59.8183,-152.1398,1.7
33.77,-116.9315,0.53
41.0353333,-122.0281667,1.68
33.3234,139.465,5
35.08133333,-84.228,1.93
32.5755,-115.2956667,1.55
33.3438,139.3432,5.8
33.2958333,-116.758,1.17
39.1143333,-122.9361667,1.15
40.1915,-121.1125,2.34
33.3953,139.3982,5.5
-22.7825,69.2277,4.9
34.4645,-118.482,0.92
39.5793,-120.0503,0.5
40.1866,-119.7901,0.1
33.6946667,-117.0205,0.3
17.901,-66.96916667,2.55
39.5808,-120.0423,1.4
33.4675,-118.293,1.82
34.4746667,-116.4843333,0.93
44.764,-110.9666667,0.95
33.3046,139.3655,4.7
38.1196667,-112.6238333,1.8
38.1225,-112.5898333,1.11
31.65310738,-104.2924514,2.5
38.7906685,-122.7675018,0.68
32.9545,-115.783,1.07
60.4129,-152.3961,1.5
19.41533333,-155.3248333,2.13
-7.2339,124.6073,5.2
18.405,-67.822,3.63
38.8040009,-122.8079987,0.79
38.7996674,-122.8001633,0.87
3.9752,-73.7986,4.8
61.0094,-151.1718,2.7
60.6,-152.854,1.4
19.1515007,-155.4591675,2.26999998
38.8251648,-122.796669,1.09
55.5489,161.651,4.8
38.821167,-122.8041687,0.57
19.0276,-67.9136,3.82
19.16466713,-155.4651642,2.95
33.0328333,-116.0005,0.51
-9.2337,111.3659,4.5
58.1759,-154.9716,1.3
19.20233345,-155.3724976,1.86000001
39.368,-119.7457,0.6
38.8250008,-122.795166,0.32
18.6955,-67.53716667,3.4
37.6585,-119.3215,0.86
33.7713333,-116.931,0.5
37.0936667,-112.8778333,1.89
33.7701667,-116.9311667,0.76
38.8258324,-122.795166,0.82
39.4112,-119.9069,-0.1
38.586,-119.4542,1.3
38.8256683,-122.8008347,0.77
34.4883333,-116.5248333,1.12
34.0016667,-118.6786667,0.84
17.92033333,-66.91566667,1.98
19.38483238,-155.2810059,1.74000001
38.8161659,-122.8183365,1.11
19.1590004,-155.4850006,2
31.62359247,-104.4205409,2.4
37.7176667,-113.1401667,0.91
19.1715,-67.8886,3.94
33.135,-116.6411667,0.82
38.7898331,-122.7258301,0.76
40.1958,-121.0918,1.4
33.5196667,-116.4018333,0.94
38.8578333,-122.848,0.01
39.6015,-120.0204,0.6
18.0508,-66.5633,3.34
38.8365,-122.79,0.06
36.4394,-115.7407,0.9
38.7750015,-122.7409973,0.77
44.4433333,-110.989,1.37
19.23800087,-155.4035034,1.82000005
19.40533257,-155.2720032,2.03
19.156,-67.551,3.57
19.078,-67.68683333,3.43
19.1225,-67.692,3.62
19.29533333,-67.66283333,3.31
38.7585,-122.7031667,0.31
19.16799927,-155.4931641,2
33.6775,-116.696,0.4
33.6758333,-116.7025,0.83
38.7876663,-122.7249985,0.75
44.7101667,-110.9843333,0.26
38.7488333,-122.7103333,0.71
38.4165,-96.8217,2.5
35.886,-117.684,1.93
44.7688333,-110.9683333,0.92
38.8390007,-122.8105011,0.21
55.3507,162.8512,4.4
33.4731667,-116.5598333,1.06
38.7993317,-122.7496643,0.3
19.18583298,-155.3921661,2.29999995
33.6416667,-116.7491667,0.73
